address,city,soldDate,soldPrice,sqft,zipCode
,,,,,
245 E 93rd St #26C,New York,21-Dec-18,"$1,399,999 ","1,056 sqft",10128
,,,,,
15 Broad St #2320,New York,21-Dec-18,"$2,150,000 ","1,772 sqft",10005
,,,,,
510 W 110th St #12D,New York,21-Dec-18,"$660,000 ",616 sqft,10025
,,,,,
405 W 50th St,New York,21-Dec-18,Contact For Estimate,"9,775 sqft",10019
,,,,,
407 W 50th St,New York,21-Dec-18,Contact For Estimate,"9,775 sqft",10019
,,,,,
155 W 70th St #12E,New York,21-Dec-18,"$950,000 ","1,302 sqft",10023
,,,,,
200 E 66th St #E2006,New York,21-Dec-18,Contact For Estimate,955 sqft,10065
,,,,,
200 E 24th St #1809,New York,21-Dec-18,"$650,000 ","158,337 sqft",10010
,,,,,
181 E 90th St #26A,New York,21-Dec-18,"$3,200,000 ","1,948 sqft",10128
,,,,,
58 W 129th St #2C,New York,21-Dec-18,"$494,000 ",479 sqft,10027
,,,,,
245 7th Ave #7C,New York,20-Dec-18,"$1,335,000 ",981 sqft,10001
,,,,,
157 E 32nd St #7D,New York,20-Dec-18,"$660,000 ",521 sqft,10016
,,,,,
52 Rivington St #4,New York,20-Dec-18,"$2,250,000 ","1,178 sqft",10002
,,,,,
1 Sheridan Sq #3C,New York,20-Dec-18,"$790,000 ",466 sqft,10014
,,,,,
252 W 17th St #6A,New York,20-Dec-18,Contact For Estimate,974 sqft,10011
,,,,,
22 E 82nd St #3,New York,20-Dec-18,"$1,300,000 ","1,162 sqft",10028
,,,,,
311 West Broadway #A,New York,20-Dec-18,Contact For Estimate,"2,607 sqft",10013
,,,,,
400 E 67th St #29B,New York,20-Dec-18,"$3,350,000 ","1,964 sqft",10065
,,,,,
155 W 66th St #734,New York,20-Dec-18,"$175,000 ",665 sqft,10023
,,,,,
18-20 Pine St #2407,New York,20-Dec-18,"$935,000 ",926 sqft,10005
,,,,,
333 Rector Pl #1509,New York,20-Dec-18,"$1,580,000 ","1,341 sqft",10280
,,,,,
425 5th Ave #33D,New York,20-Dec-18,"$1,580,000 ","1,129 sqft",10016
,,,,,
340 E 23rd St #10E,New York,20-Dec-18,"$1,600,000 ","1,280 sqft",10010
,,,,,
23 W 116th St #7H,New York,20-Dec-18,"$910,000 ",747 sqft,10026
,,,,,
146 W 57th St #39B,New York,20-Dec-18,"$1,460,000 ","1,048 sqft",10019
,,,,,
638 W 160th St #644,New York,19-Dec-18,Contact For Estimate,"43,632 sqft",10032
,,,,,
300 E 64th St #11C,New York,19-Dec-18,Contact For Estimate,976 sqft,10065
,,,,,
2250 Broadway #4E,New York,19-Dec-18,"$1,150,000 ",756 sqft,10024
,,,,,
217 W 19th St #10-221,New York,19-Dec-18,"$5,200,000 ","2,400 sqft",10011
,,,,,
161 Morningside Ave,New York,19-Dec-18,Contact For Estimate,"8,609 sqft",10027
,,,,,
166 E 63rd St #3H,New York,28-Dec-18,"$545,000 ",528 sqft,10065
,,,,,
333 W 56th St #8M,New York,28-Dec-18,"$1,150,000 ",797 sqft,10019
,,,,,
345 E 33rd St,New York,28-Dec-18,Contact For Estimate,"10,625 sqft",10016
,,,,,
50 Bayard St #7X,New York,27-Dec-18,"$463,500 ",371 sqft,10013
,,,,,
159 W 53rd St #11D,New York,27-Dec-18,"$805,000 ",798 sqft,10019
,,,,,
247 W 46th St #2503,New York,27-Dec-18,Contact For Estimate,"1,391 sqft",10036
,,,,,
18 W 48th St #8D,New York,27-Dec-18,"$950,000 ",628 sqft,10036
,,,,,
23 E 22nd St #55A,New York,27-Dec-18,Contact For Estimate,"6,610 sqft",10010
,,,,,
305 E 51st St #RU3B,New York,27-Dec-18,"$1,477,500 ",919 sqft,10022
,,,,,
188 E 76th St #4B,New York,27-Dec-18,"$1,550,000 ","1,208 sqft",10021
,,,,,
211 W 71st St #4C,New York,27-Dec-18,"$955,000 ",528 sqft,10023
,,,,,
1 Wall Street Ct #803,New York,27-Dec-18,"$495,000 ",366 sqft,10005
,,,,,
165 W 95th St #2N,New York,27-Dec-18,"$619,000 ",745 sqft,10025
,,,,,
524 E 72nd St #22A,New York,27-Dec-18,"$995,000 ",657 sqft,10021
,,,,,
521 Park Ave #11A,New York,26-Dec-18,"$1,900,000 ","1,058 sqft",10065
,,,,,
44 E 65th St #5AB,New York,26-Dec-18,"$1,300,000 ","7,545 sqft",10065
,,,,,
33 Henry St,New York,26-Dec-18,Contact For Estimate,"8,360 sqft",10002
,,,,,
80 Columbus Cir #NT72C,New York,26-Dec-18,Contact For Estimate,"3,165 sqft",10023
,,,,,
301 W 110th St #1P,New York,26-Dec-18,"$600,000 ",589 sqft,10026
,,,,,
160 Central Park S #1608,New York,24-Dec-18,"$895,000 ",451 sqft,10019
,,,,,
340 E 23rd St #2D,New York,24-Dec-18,"$1,800,000 ","1,071 sqft",10010
,,,,,
160 W 66th St #35E,New York,24-Dec-18,"$1,300,000 ",840 sqft,10023
,,,,,
40 Broad St #11A,New York,24-Dec-18,"$962,000 ",908 sqft,10004
,,,,,
205 E 31st St,New York,24-Dec-18,"$3,700,000 ","2,900 sqft",10016
,,,,,
1760 2nd Ave #29B,New York,24-Dec-18,"$1,290,000 ",987 sqft,10128
,,,,,
