,address,city,soldDate,soldPrice,sqft,zipCode,borough,PricePerSQFT
0,245 E 93rd St #26C,New York,21-Dec-18,1399999.0,1056,10128,Manhattan,1325.7566287878788
1,15 Broad St #2320,New York,21-Dec-18,2150000.0,1772,10005,Manhattan,1213.3182844243793
2,510 W 110th St #12D,New York,21-Dec-18,660000.0,616,10025,Manhattan,1071.4285714285713
3,155 W 70th St #12E,New York,21-Dec-18,950000.0,1302,10023,Manhattan,729.6466973886329
4,200 E 24th St #1809,New York,21-Dec-18,650000.0,158337,10010,Manhattan,4.105168090844212
5,181 E 90th St #26A,New York,21-Dec-18,3200000.0,1948,10128,Manhattan,1642.7104722792608
6,58 W 129th St #2C,New York,21-Dec-18,494000.0,479,10027,Manhattan,1031.3152400835072
7,245 7th Ave #7C,New York,20-Dec-18,1335000.0,981,10001,Manhattan,1360.85626911315
8,157 E 32nd St #7D,New York,20-Dec-18,660000.0,521,10016,Manhattan,1266.7946257197698
9,52 Rivington St #4,New York,20-Dec-18,2250000.0,1178,10002,Manhattan,1910.0169779286928
10,1 Sheridan Sq #3C,New York,20-Dec-18,790000.0,466,10014,Manhattan,1695.2789699570815
11,22 E 82nd St #3,New York,20-Dec-18,1300000.0,1162,10028,Manhattan,1118.7607573149742
12,400 E 67th St #29B,New York,20-Dec-18,3350000.0,1964,10065,Manhattan,1705.7026476578412
13,155 W 66th St #734,New York,20-Dec-18,175000.0,665,10023,Manhattan,263.1578947368421
14,18-20 Pine St #2407,New York,20-Dec-18,935000.0,926,10005,Manhattan,1009.719222462203
15,333 Rector Pl #1509,New York,20-Dec-18,1580000.0,1341,10280,Manhattan,1178.2252050708425
16,425 5th Ave #33D,New York,20-Dec-18,1580000.0,1129,10016,Manhattan,1399.468556244464
17,340 E 23rd St #10E,New York,20-Dec-18,1600000.0,1280,10010,Manhattan,1250.0
18,23 W 116th St #7H,New York,20-Dec-18,910000.0,747,10026,Manhattan,1218.206157965194
19,146 W 57th St #39B,New York,20-Dec-18,1460000.0,1048,10019,Manhattan,1393.1297709923665
20,2250 Broadway #4E,New York,19-Dec-18,1150000.0,756,10024,Manhattan,1521.164021164021
21,217 W 19th St #10-221,New York,19-Dec-18,5200000.0,2400,10011,Manhattan,2166.6666666666665
22,166 E 63rd St #3H,New York,28-Dec-18,545000.0,528,10065,Manhattan,1032.1969696969697
23,333 W 56th St #8M,New York,28-Dec-18,1150000.0,797,10019,Manhattan,1442.9109159347554
24,50 Bayard St #7X,New York,27-Dec-18,463500.0,371,10013,Manhattan,1249.3261455525605
25,159 W 53rd St #11D,New York,27-Dec-18,805000.0,798,10019,Manhattan,1008.7719298245614
26,18 W 48th St #8D,New York,27-Dec-18,950000.0,628,10036,Manhattan,1512.7388535031846
27,305 E 51st St #RU3B,New York,27-Dec-18,1477500.0,919,10022,Manhattan,1607.7257889009793
28,188 E 76th St #4B,New York,27-Dec-18,1550000.0,1208,10021,Manhattan,1283.112582781457
29,211 W 71st St #4C,New York,27-Dec-18,955000.0,528,10023,Manhattan,1808.7121212121212
30,1 Wall Street Ct #803,New York,27-Dec-18,495000.0,366,10005,Manhattan,1352.4590163934427
31,165 W 95th St #2N,New York,27-Dec-18,619000.0,745,10025,Manhattan,830.8724832214765
32,524 E 72nd St #22A,New York,27-Dec-18,995000.0,657,10021,Manhattan,1514.4596651445966
33,521 Park Ave #11A,New York,26-Dec-18,1900000.0,1058,10065,Manhattan,1795.8412098298677
34,44 E 65th St #5AB,New York,26-Dec-18,1300000.0,7545,10065,Manhattan,172.29953611663353
35,301 W 110th St #1P,New York,26-Dec-18,600000.0,589,10026,Manhattan,1018.6757215619695
36,160 Central Park S #1608,New York,24-Dec-18,895000.0,451,10019,Manhattan,1984.478935698448
37,340 E 23rd St #2D,New York,24-Dec-18,1800000.0,1071,10010,Manhattan,1680.672268907563
38,160 W 66th St #35E,New York,24-Dec-18,1300000.0,840,10023,Manhattan,1547.6190476190477
39,40 Broad St #11A,New York,24-Dec-18,962000.0,908,10004,Manhattan,1059.4713656387664
40,205 E 31st St,New York,24-Dec-18,3700000.0,2900,10016,Manhattan,1275.8620689655172
41,1760 2nd Ave #29B,New York,24-Dec-18,1290000.0,987,10128,Manhattan,1306.9908814589667
42,111 Fulton St #621,New York,24-Dec-18,775000.0,580,10038,Manhattan,1336.2068965517242
43,462 W 25th St,New York,24-Dec-18,5500000.0,4290,10001,Manhattan,1282.051282051282
44,247 W 46th St #3903,New York,24-Dec-18,2388000.0,1308,10036,Manhattan,1825.6880733944954
45,392 Central Park W #17B,New York,31-Dec-18,1125000.0,841,10025,Manhattan,1337.6932223543402
46,690 Riverside Dr #5D,New York,31-Dec-18,698000.0,1005,10031,Manhattan,694.5273631840796
47,301 W 53rd St #13J,New York,31-Dec-18,995000.0,678,10019,Manhattan,1467.551622418879
48,169 W 95th St #16D,New York,31-Dec-18,1142000.0,708,10025,Manhattan,1612.9943502824858
49,1600 Broadway #8D,New York,31-Dec-18,1100000.0,777,10019,Manhattan,1415.7014157014157
50,301 W 57th St #7D,New York,31-Dec-18,1787500.0,1033,10019,Manhattan,1730.3969022265246
51,345 W 13th St #4F,New York,31-Dec-18,5875000.0,2888,10014,Manhattan,2034.2797783933518
52,201 E 80th St #12G,New York,31-Dec-18,3300000.0,2139,10075,Manhattan,1542.7769985974755
53,200 E 62nd St #14E,New York,31-Dec-18,3120936.0,1936,10065,Manhattan,1612.0537190082644
54,247 W 46th St #3203,New York,31-Dec-18,2350000.0,1400,10036,Manhattan,1678.5714285714287
55,140 E 56th St #3G,New York,31-Dec-18,480000.0,488,10022,Manhattan,983.6065573770492
56,130 Fulton St #11A,New York,31-Dec-18,1900000.0,1900,10038,Manhattan,1000.0
57,15 Broad St #3710,New York,31-Dec-18,2500000.0,1961,10005,Manhattan,1274.859765425803
58,7 E 9th St #4,New York,30-Dec-18,2575000.0,6670,10003,Manhattan,386.0569715142429
59,333 E 34th St #17C,New York,28-Dec-18,1330000.0,1185,10016,Manhattan,1122.3628691983122
60,1619 3rd Ave #13F,New York,28-Dec-18,1360000.0,1157,10128,Manhattan,1175.4537597234225
61,438-448 W 37th St #8A,New York,28-Dec-18,1700000.0,1840,10018,Manhattan,923.9130434782609
62,190 Riverside Dr #10C,New York,28-Dec-18,4700000.0,2670,10024,Manhattan,1760.2996254681648
63,295 Bennett Ave #6D,New York,28-Dec-18,393900.0,316007,10040,Manhattan,1.2464913751910558
64,301 W 57th St #22D,New York,28-Dec-18,2025000.0,1033,10019,Manhattan,1960.3097773475315
65,301 W 110th St #17H,New York,28-Dec-18,999950.0,861,10026,Manhattan,1161.3821138211383
66,22 Renwick St #1A,New York,28-Dec-18,2355000.0,1388,10013,Manhattan,1696.685878962536
67,45 Park Ave #903,New York,28-Dec-18,2175000.0,1440,10016,Manhattan,1510.4166666666667
68,407 E 12th St #1RSE,New York,28-Dec-18,1986075.0,1453,10009,Manhattan,1366.878871300757
69,1235 Park Ave #3C,New York,3-Jan-19,1985000.0,1728,10128,Manhattan,1148.726851851852
70,80 John St #2G,New York,8-Jan-19,1140000.0,1000,10038,Manhattan,1140.0
71,1 Irving Pl #U16F,New York,8-Jan-19,1225000.0,785,10003,Manhattan,1560.5095541401274
72,1619 3rd Ave #16H,New York,8-Jan-19,1250000.0,1182,10128,Manhattan,1057.5296108291031
73,415 Greenwich St #8D,New York,7-Jan-19,3200000.0,1850,10013,Manhattan,1729.7297297297298
74,200 Riverside Blvd #24E,New York,7-Jan-19,1720000.0,1217,10069,Manhattan,1413.3114215283483
75,330 E 38th St #37N,New York,7-Jan-19,2285000.0,1699,10016,Manhattan,1344.9087698646263
76,252 7th Ave #7C,New York,7-Jan-19,1600000.0,992,10001,Manhattan,1612.9032258064517
77,200 E 32nd St #20C,New York,7-Jan-19,1368000.0,976,10016,Manhattan,1401.639344262295
78,242 W 136th St,New York,7-Jan-19,2000000.0,3400,10030,Manhattan,588.2352941176471
79,18-20 Pine St #1503,New York,7-Jan-19,770000.0,656,10005,Manhattan,1173.780487804878
80,101 Leonard St #4D,New York,7-Jan-19,2515000.0,1510,10013,Manhattan,1665.5629139072848
81,116-118 Wooster St #5B,New York,4-Jan-19,1725000.0,1268,10012,Manhattan,1360.410094637224
82,330 E 33rd St #14F,New York,4-Jan-19,585000.0,485,10016,Manhattan,1206.1855670103093
83,42 West St,New York,4-Jan-19,2495000.0,62360,10006,Manhattan,40.0096215522771
84,159 W 53rd St #33D,New York,4-Jan-19,905000.0,798,10019,Manhattan,1134.0852130325814
85,110 E 87th St #8E,New York,4-Jan-19,625000.0,581,10128,Manhattan,1075.7314974182443
86,246 W 17th St #4A,New York,4-Jan-19,4250000.0,2033,10011,Manhattan,2090.5066404328577
87,235 W End Ave #1H,New York,4-Jan-19,590338.0,533,10023,Manhattan,1107.5759849906192
88,250 S End Ave #7F,New York,4-Jan-19,495000.0,506,10280,Manhattan,978.2608695652174
89,456 W 167th St #4F,New York,4-Jan-19,500000.0,558,10032,Manhattan,896.0573476702509
90,404 E 79th St #15F,New York,4-Jan-19,730000.0,582,10075,Manhattan,1254.295532646048
91,210 E 47th St #4G,New York,3-Jan-19,600000.0,387,10017,Manhattan,1550.3875968992247
92,20 Pine St #1109,New York,3-Jan-19,715000.0,662,10005,Manhattan,1080.060422960725
93,342 W 85th St #3C344,New York,3-Jan-19,1212500.0,824,10024,Manhattan,1471.4805825242718
94,201 W 72nd St #14D,New York,10-Jan-19,1725000.0,1061,10023,Manhattan,1625.8246936852026
95,59 John St #3H,New York,10-Jan-19,575000.0,690,10038,Manhattan,833.3333333333334
96,333 Rector Pl #706,New York,10-Jan-19,2675000.0,2356,10280,Manhattan,1135.3989813242783
97,467 W 163rd St #2,New York,10-Jan-19,755000.0,1270,10032,Manhattan,594.488188976378
98,405 E 63rd St #5L,New York,10-Jan-19,675000.0,122346,10065,Manhattan,5.517139914668236
99,35 W 92nd St #1F,New York,10-Jan-19,630000.0,98081,10025,Manhattan,6.423262405562749
100,1 Irving Pl #U19D,New York,10-Jan-19,1100000.0,670,10003,Manhattan,1641.7910447761194
101,2131 Frederick Douglass Blvd #5H,New York,9-Jan-19,876525.0,820,10026,Manhattan,1068.9329268292684
102,235 W 75th St #8S,New York,9-Jan-19,2997613.0,545,10023,Manhattan,5500.207339449541
103,255 Hudson St #2E,New York,9-Jan-19,1400000.0,1145,10013,Manhattan,1222.707423580786
104,2094 Frederick Douglass Blvd,New York,9-Jan-19,626000.0,550,10026,Manhattan,1138.1818181818182
105,161 W 61st St #22H,New York,9-Jan-19,975000.0,633,10023,Manhattan,1540.2843601895734
106,255 E 74th St,New York,9-Jan-19,4800000.0,2475,10021,Manhattan,1939.3939393939395
107,350 W 42nd St #34F,New York,14-Jan-19,1100000.0,768,10036,Manhattan,1432.2916666666667
108,420 E 86th St #4A,New York,14-Jan-19,1260000.0,1186,10028,Manhattan,1062.3946037099495
109,135-145 W 70th St #8A,New York,14-Jan-19,1050000.0,710,10023,Manhattan,1478.8732394366198
110,415-423 E 54th St #10F,New York,14-Jan-19,1440000.0,1178,10022,Manhattan,1222.4108658743633
111,250 W 11th St,New York,14-Jan-19,4700000.0,2568,10014,Manhattan,1830.2180685358255
112,178 E 80th St #8D,New York,14-Jan-19,625000.0,138875,10075,Manhattan,4.5004500450045
113,40 Broad St #14B,New York,14-Jan-19,950000.0,842,10004,Manhattan,1128.2660332541568
114,2101 Frederick Douglass Blvd #6D,New York,14-Jan-19,715000.0,575,10026,Manhattan,1243.4782608695652
115,181 7th Ave #14C,New York,14-Jan-19,1150000.0,618,10011,Manhattan,1860.8414239482202
116,9-11 Mercer St #5B,New York,14-Jan-19,2500000.0,1452,10013,Manhattan,1721.763085399449
117,420 W 25th St #1F,New York,14-Jan-19,2350000.0,1949,10001,Manhattan,1205.7465366854797
118,155 W 70th St #7G,New York,14-Jan-19,780000.0,594,10023,Manhattan,1313.1313131313132
119,10 Little St W #19A,New York,11-Jan-19,2650000.0,1759,10280,Manhattan,1506.5378055713475
120,555 W 59th St #6G,New York,11-Jan-19,1850000.0,1116,10019,Manhattan,1657.7060931899641
121,220 E 65th St #9E,New York,11-Jan-19,295000.0,406,10065,Manhattan,726.6009852216749
122,240 Riverside Blvd #4,New York,11-Jan-19,1250000.0,827,10069,Manhattan,1511.4873035066505
123,15 Central Park W #33B,New York,11-Jan-19,18000000.0,2367,10023,Manhattan,7604.5627376425855
124,275 W 96th St #6D,New York,17-Jan-19,1475000.0,1026,10025,Manhattan,1437.6218323586745
125,301 W 53rd St #20G,New York,17-Jan-19,950000.0,678,10019,Manhattan,1401.1799410029498
126,2109 Broadway #17131,New York,17-Jan-19,1585000.0,384,10023,Manhattan,4127.604166666667
127,345 E 80th St #30H,New York,17-Jan-19,770000.0,627,10075,Manhattan,1228.0701754385964
128,159 W 53rd St #14A,New York,17-Jan-19,650000.0,498,10019,Manhattan,1305.2208835341366
129,141 W 24th St #6,New York,17-Jan-19,3375000.0,2500,10011,Manhattan,1350.0
130,200 E 69th St #7E,New York,17-Jan-19,578000.0,458,10021,Manhattan,1262.0087336244542
131,125 E 12th St #4H,New York,23-Jan-19,1300000.0,895,10003,Manhattan,1452.513966480447
132,463 W 143rd St,New York,23-Jan-19,3188250.0,5130,10031,Manhattan,621.4912280701755
133,162 E 80th St #2B,New York,23-Jan-19,2025000.0,49435,10075,Manhattan,40.962880550217456
134,160 Wadsworth Ave #208,New York,23-Jan-19,375000.0,527,10033,Manhattan,711.5749525616699
135,240 E 55th St #7D,New York,23-Jan-19,486499.0,68225,10022,Manhattan,7.1308024917552215
136,326 W 83rd St #5D,New York,23-Jan-19,460000.0,19362,10024,Manhattan,23.757876252453258
137,181 E 65th St #4C,New York,23-Jan-19,2750000.0,1606,10065,Manhattan,1712.3287671232877
138,308 W 30th St #1A,New York,23-Jan-19,565000.0,432,10001,Manhattan,1307.8703703703704
139,352 W 117th St #5G,New York,22-Jan-19,975000.0,953,10026,Manhattan,1023.0849947534102
140,1 Lincoln Plz #20P,New York,22-Jan-19,2050000.0,1056,10023,Manhattan,1941.2878787878788
141,240 W End Ave #14A,New York,22-Jan-19,1685000.0,1081,10023,Manhattan,1558.7419056429233
142,215 W 134th St,New York,22-Jan-19,2080000.0,2550,10030,Manhattan,815.6862745098039
143,2110 Frederick Douglass Blvd #6B,New York,22-Jan-19,1585000.0,1322,10026,Manhattan,1198.9409984871406
144,246 Spring St #3004,New York,22-Jan-19,550000.0,425,10013,Manhattan,1294.1176470588234
145,2077 5th Ave #5C,New York,22-Jan-19,1270000.0,1260,10035,Manhattan,1007.936507936508
146,69-71 E 130th St #4C,New York,22-Jan-19,636500.0,778,10037,Manhattan,818.1233933161953
147,333 E 34th St #12H,New York,22-Jan-19,760000.0,715,10016,Manhattan,1062.937062937063
148,1 Central Park W #35E,New York,18-Jan-19,3150000.0,1444,10023,Manhattan,2181.4404432132965
149,311 E 38th St #18B,New York,18-Jan-19,951000.0,745,10016,Manhattan,1276.510067114094
150,48 W 138th St #6K,New York,18-Jan-19,490000.0,455,10037,Manhattan,1076.923076923077
151,19 Mount Morris Park W #5A,New York,18-Jan-19,1075000.0,917,10027,Manhattan,1172.3009814612867
152,303 E 49th St #22,New York,18-Jan-19,3650000.0,2432,10017,Manhattan,1500.8223684210527
153,88 Greenwich St #1013,New York,18-Jan-19,640000.0,627,10006,Manhattan,1020.7336523125997
154,311 E 38th St #11C,New York,18-Jan-19,652000.0,496,10016,Manhattan,1314.516129032258
155,300 E 62nd St #1003,New York,18-Jan-19,510000.0,435,10065,Manhattan,1172.4137931034484
156,125 E 12th St #1D,New York,18-Jan-19,3250000.0,2058,10003,Manhattan,1579.2031098153548
157,80 W 120th St,New York,18-Jan-19,2900000.0,4740,10027,Manhattan,611.8143459915611
158,45 Park Ave #2103,New York,17-Jan-19,1490000.0,812,10016,Manhattan,1834.9753694581282
159,1438 3rd Ave #26B,New York,17-Jan-19,1175000.0,790,10028,Manhattan,1487.3417721518988
160,88 Greenwich St #3505,New York,17-Jan-19,995000.0,681,10006,Manhattan,1461.086637298091
161,800 10th Ave,New York,25-Jan-19,3100000.0,1702,10019,Manhattan,1821.3866039952995
162,120 Riverside Blvd #15T,New York,25-Jan-19,1588888.0,1043,10069,Manhattan,1523.3825503355704
163,159 W 118th St #2E,New York,25-Jan-19,1325000.0,1296,10026,Manhattan,1022.3765432098766
164,635 W 42nd St #20F,New York,25-Jan-19,1175000.0,758,10036,Manhattan,1550.131926121372
165,520 W 110th St #1C,New York,25-Jan-19,2100000.0,1631,10025,Manhattan,1287.5536480686694
166,380 Rector Pl #10A,New York,25-Jan-19,1380000.0,873,10280,Manhattan,1580.7560137457044
167,555 W 23rd St #N6G,New York,25-Jan-19,750000.0,508,10011,Manhattan,1476.3779527559054
