address,built,city,propertyType,soldDate,soldPrice,sqft,zipCode
161 Morningside Ave,1901,New York,Multi-Family,ie," Contact For Estimate
 ","8,609 sqft",10027
150 E 86th St #11F,2007,New York,Condo,"Dec 21, 2018","2,675,000","1,621 sqft",10028
407 E 12th St #1RSE,ie,New York,Condo,"Dec 28, 2018","1,986,075","1,453 sqft",10009
340 W 48th St,1920,New York,Multi-Family,ie," Contact For Estimate
 ","7,497 sqft",10036
342 W 85th St #3C344,1875,New York,Condo,"Jan 3, 2019","1,212,500",824 sqft,10024
333 E 82nd St,1920,New York,Multi-Family,ie," Contact For Estimate
 ","4,032 sqft",10028
15 W 53rd St #19C,1982,New York,Condo,ie," Contact For Estimate
 ",973 sqft,10019
505 W 19th St #7D,2013,New York,Condo,"Jan 14, 2019","2,000,000","1,077 sqft",10011
88 Greenwich St #3505,1956,New York,Condo,"Jan 17, 2019","995,000",681 sqft,10006
1965 Broadway #19A,ie,New York,Condo,"Jan 23, 2019","4,100,000","1,859 sqft",10023
2148 Broadway #PH3A,2009,New York,Condo,"Jan 25, 2019","10,495,000","2,532 sqft",10023
225 E 74th St #5H,1938,New York,Coop,ie," Contact For Estimate
 ","86,988 sqft",10021
3 E 88th St,1940,Brooklyn,Multi-Family,ie,"605,134
 ","2,165 sqft",11236
1144 Lydig Ave #6F,1963,Bronx,ie,ie," Contact For Estimate
 ",Condo,10461
8451 Beverly Rd #1W,1941,Kew Gardens,Coop,ie," Contact For Estimate
 ","156,510 sqft",11415
270 Seaman Ave #C4,1926,New York,Coop,ie," Contact For Estimate
 ","50,066 sqft",10034
353 Cromwell Ave,2004,Staten Island,Single-Family Home,ie,"614,739
 ","1,185 sqft",10305
234 Greencroft Ave,1965,Staten Island,Single-Family Home,ie," Contact For Estimate
 ","1,884 sqft",10308
81 Gary Ct,1975,Staten Island,Multi-Family,ie,"608,404
 ","2,068 sqft",10314
30 Walker Dr,1990,Staten Island,Single-Family Home,ie,"313,426
 ",935 sqft,10303
58 Emily Ln,1996,Staten Island,Single-Family Home,ie,"266,828
 ",929 sqft,10312
75 Venus Pl,ie,Staten Island,ie,ie," Contact For Estimate
 ",Multi-Family,10312
622 Drumgoole Rd W,1975,Staten Island,Single-Family Home,ie,"684,118
 ","1,969 sqft",10312
155 W 70th St #4H,ie,New York,Condo,"Jan 29, 2019","620,000",617 sqft,10023
301 E 45th St #15C,1980,Manhattan,Condo,"Jan 30, 2019","695,000",522 sqft,10017
101 W 24th St #28D,2008,New York,Condo,"Jan 30, 2019","2,665,000","1,286 sqft",10011
301 W 110th St #14D,1989,New York,Condo,"Jan 30, 2019","610,000",589 sqft,10026
315 7th Ave #17C,ie,New York,Condo,"Jan 30, 2019","860,000",612 sqft,10001
223 W 80th St #11,2004,New York,Condo,"Jan 30, 2019","2,300,000","1,612 sqft",10024
613 Hudson St,1899,New York,Single-Family Home,"Jan 30, 2019","5,100,000","2,080 sqft",10014
333 E 30th St #14K,1962,New York,Condo,"Jan 30, 2019","775,000",763 sqft,10016
101 Warren St #1550,2007,New York,Condo,"Jan 30, 2019","3,870,000","1,920 sqft",10007
50 Riverside Blvd #3J,2013,New York,Condo,"Jan 30, 2019","2,275,000","1,410 sqft",10069
200 Riverside Blvd #16A,ie,New York,Condo,"Jan 30, 2019","2,400,000","1,557 sqft",10069
220 3rd Ave #2C,1901,New York,Condo,"Jan 30, 2019","950,000",525 sqft,10003
768 5th Ave #1321,ie,New York,Multi-Family,"Jan 30, 2019","2,800,000",902 sqft,10019
400 E 51st St #4C,2002,Manhattan,Condo,"Jan 30, 2019","1,180,000","1,046 sqft",10022
77 W 55th St #7A,1962,New York,ie,ie,"       $535,000
      
     ",ie,10019
