,address,city,soldDate,soldPrice,sqft,zipCode,borough
0,245 E 93rd St #26C,New York,21-Dec-18,1399999.0,1056,10128,Manhattan
1,15 Broad St #2320,New York,21-Dec-18,2150000.0,1772,10005,Manhattan
2,510 W 110th St #12D,New York,21-Dec-18,660000.0,616,10025,Manhattan
3,405 W 50th St,New York,21-Dec-18,,9775,10019,Manhattan
4,407 W 50th St,New York,21-Dec-18,,9775,10019,Manhattan
5,155 W 70th St #12E,New York,21-Dec-18,950000.0,1302,10023,Manhattan
6,200 E 66th St #E2006,New York,21-Dec-18,,955,10065,Manhattan
7,200 E 24th St #1809,New York,21-Dec-18,650000.0,158337,10010,Manhattan
8,181 E 90th St #26A,New York,21-Dec-18,3200000.0,1948,10128,Manhattan
9,58 W 129th St #2C,New York,21-Dec-18,494000.0,479,10027,Manhattan
10,245 7th Ave #7C,New York,20-Dec-18,1335000.0,981,10001,Manhattan
11,157 E 32nd St #7D,New York,20-Dec-18,660000.0,521,10016,Manhattan
12,52 Rivington St #4,New York,20-Dec-18,2250000.0,1178,10002,Manhattan
13,1 Sheridan Sq #3C,New York,20-Dec-18,790000.0,466,10014,Manhattan
14,252 W 17th St #6A,New York,20-Dec-18,,974,10011,Manhattan
15,22 E 82nd St #3,New York,20-Dec-18,1300000.0,1162,10028,Manhattan
16,311 West Broadway #A,New York,20-Dec-18,,2607,10013,Manhattan
17,400 E 67th St #29B,New York,20-Dec-18,3350000.0,1964,10065,Manhattan
18,155 W 66th St #734,New York,20-Dec-18,175000.0,665,10023,Manhattan
19,18-20 Pine St #2407,New York,20-Dec-18,935000.0,926,10005,Manhattan
20,333 Rector Pl #1509,New York,20-Dec-18,1580000.0,1341,10280,Manhattan
21,425 5th Ave #33D,New York,20-Dec-18,1580000.0,1129,10016,Manhattan
22,340 E 23rd St #10E,New York,20-Dec-18,1600000.0,1280,10010,Manhattan
23,23 W 116th St #7H,New York,20-Dec-18,910000.0,747,10026,Manhattan
24,146 W 57th St #39B,New York,20-Dec-18,1460000.0,1048,10019,Manhattan
25,638 W 160th St #644,New York,19-Dec-18,,43632,10032,Manhattan
26,300 E 64th St #11C,New York,19-Dec-18,,976,10065,Manhattan
27,2250 Broadway #4E,New York,19-Dec-18,1150000.0,756,10024,Manhattan
28,217 W 19th St #10-221,New York,19-Dec-18,5200000.0,2400,10011,Manhattan
29,161 Morningside Ave,New York,19-Dec-18,,8609,10027,Manhattan
30,166 E 63rd St #3H,New York,28-Dec-18,545000.0,528,10065,Manhattan
31,333 W 56th St #8M,New York,28-Dec-18,1150000.0,797,10019,Manhattan
32,345 E 33rd St,New York,28-Dec-18,,10625,10016,Manhattan
33,50 Bayard St #7X,New York,27-Dec-18,463500.0,371,10013,Manhattan
34,159 W 53rd St #11D,New York,27-Dec-18,805000.0,798,10019,Manhattan
35,247 W 46th St #2503,New York,27-Dec-18,,1391,10036,Manhattan
36,18 W 48th St #8D,New York,27-Dec-18,950000.0,628,10036,Manhattan
37,23 E 22nd St #55A,New York,27-Dec-18,,6610,10010,Manhattan
38,305 E 51st St #RU3B,New York,27-Dec-18,1477500.0,919,10022,Manhattan
39,188 E 76th St #4B,New York,27-Dec-18,1550000.0,1208,10021,Manhattan
40,211 W 71st St #4C,New York,27-Dec-18,955000.0,528,10023,Manhattan
41,1 Wall Street Ct #803,New York,27-Dec-18,495000.0,366,10005,Manhattan
42,165 W 95th St #2N,New York,27-Dec-18,619000.0,745,10025,Manhattan
43,524 E 72nd St #22A,New York,27-Dec-18,995000.0,657,10021,Manhattan
44,521 Park Ave #11A,New York,26-Dec-18,1900000.0,1058,10065,Manhattan
45,44 E 65th St #5AB,New York,26-Dec-18,1300000.0,7545,10065,Manhattan
46,33 Henry St,New York,26-Dec-18,,8360,10002,Manhattan
47,80 Columbus Cir #NT72C,New York,26-Dec-18,,3165,10023,Manhattan
